Level_of_Study,Mode_of_Entry,Admission_Year,Current_Semester,Semester_GPA,CGPA,Previous_Semester_GPA,GPA_Trend,Total_Credit_Units_Registered,Total_Credit_Units_Passed,Total_Credit_Units_Failed,Credit_Completion_Rate_%,Number_of_Outstanding_Courses,Number_of_Carryovers,Number_of_Repeated_Courses,Attendance_Percentage,Academic_Probation,Number_of_Probation_Occurrences,Attrition_Status
200,Direct Entry,2023,First Semester,5,4.88,4.75,Improving,21,21,0,100,0,0,0,93,No,0,No
100,UTME,2025,First Semester,3.72,3.92,4.16,Declining,21,20,1,95.2,3,3,2,78.5,No,0,No
100,UTME,2025,Second Semester,3.53,3.62,3.42,Stable,22,21,1,95.5,2,3,2,60.8,No,0,Yes
100,UTME,2024,First Semester,3.07,3.05,3.14,Stable,22,19,3,86.4,2,3,1,68.3,No,0,Yes
500,Direct Entry,2021,First Semester,3.65,3.68,3.45,Improving,21,21,0,100,1,0,0,94.9,No,0,No
200,UTME,2023,First Semester,2.77,2.77,2.57,Improving,17,16,1,94.1,1,3,1,72.8,No,0,Yes
200,UTME,2023,First Semester,3.87,4.06,3.95,Stable,23,22,1,95.7,0,0,0,76.8,No,0,No
500,UTME,2021,First Semester,5,5,5,Stable,18,18,0,100,0,0,0,84.5,No,1,No
100,UTME,2024,Second Semester,4.61,4.25,3.9,Improving,22,22,0,100,0,0,0,84.7,No,0,No
200,UTME,2023,Second Semester,4.41,4.27,4.22,Improving,19,18,1,94.7,2,3,2,78.5,No,0,No
200,UTME,2024,Second Semester,4.52,4.34,4.05,Improving,23,23,0,100,0,0,0,100,No,0,No
300,UTME,2022,Second Semester,4.18,4.52,4.74,Declining,17,16,1,94.1,3,2,2,76.2,No,0,No
100,UTME,2024,First Semester,1.84,2.34,2.31,Declining,20,17,3,85,5,4,2,41.8,No,0,Yes
300,UTME,2023,Second Semester,4.27,4.66,4.51,Declining,20,20,0,100,1,0,0,73.6,No,0,No
